nbh_name,med_inc
westhumberclairville,33600
mountolivesilverstonejamestown,29600
thistletownbeaumondheights,32800
rexdalekipling,33600
elmsoldrexdale,34400
kingsviewvillagethewestway,34400
willowridgemartingroverichview,40800
humberheightswestmount,40400
edenbridgehumbervalley,48400
princessrosethorn,58800
eringatecentennialwestdeane,44400
marklandwood,46800
etobicokewestmall,39200
kingswaysouth,74500
stonegatequeensway,48400
newtoronto,37600
longbranch,46000
alderwood,45200
humbersummit,31200
humbermede,32400
pelmoparkhumberlea,39600
blackcreek,29400
glenfieldjaneheights,30400
yorkuniversityheights,32400
rustic,31400
mapleleaf,37200
brookhavenamesbury,34400
yorkdaleglenpark,36400
englemountlawrence,37200
clantonpark,42000
bathurstmanor,37600
westminsterbranson,33600
newtonbrookwest,32800
willowdalewest,37600
lansingwestgate,45200
bedfordparknortown,54000
standrewwindfields,46400
bridlepathsunnybrookyorkmills,72000
banburydonmills,46400
victoriavillage,34000
flemingdonpark,30400
pleasantview,34400
donvalleyvillage,34800
hillcrestvillage,34400
bayviewwoodssteeles,38000
newtonbrookeast,34000
bayviewvillage,43200
henryfarm,38400
oconnorparkview,37600
thorncliffepark,29400
leasidebennington,64000
broadviewnorth,38800
oldeastyork,44400
danfortheastyork,46400
woodbinelumsden,46400
taylormassey,32400
eastenddanforth,46000
thebeaches,61200
woodbinecorridor,50000
greenwoodcoxwell,44800
danforth,46400
playterestatesdanforth,49200
northriverdale,54400
blakejones,38400
southriverdale,48800
cabbagetownsouthstjamestown,46800
regentpark,33200
mosspark,42800
northstjamestown,33600
kensingtonchinatown,32400
university,43200
palmerstonlittleitaly,43200
trinitybellwoods,40400
dufferingrove,40800
littleportugal,46000
southparkdale,35200
roncesvalles,45600
highparkswansea,56400
highparknorth,48400
runnymedebloorwestvillage,60400
junctionarea,47200
westonpelhampark,35600
corsoitaliadavenport,41200
wychwood,43600
annex,51600
casaloma,60000
yongestclair,62400
rosedalemoorepark,67500
mountpleasanteast,58400
yongeeglinton,55200
foresthillsouth,61600
foresthillnorth,44400
lawrenceparksouth,67500
lawrenceparknorth,68000
humewoodcedarvale,45200
oakwoodvillage,37600
briarhillbelgravia,37200
caledoniafairbank,37200
keelesdaleeglintonwest,33200
rockcliffesmythe,34400
beechboroughgreenbrook,34000
weston,34800
lambtonbabypoint,48800
mountdennis,34800
steeles,29200
tamoshantersullivan,32800
wexfordmaryvale,35200
clairleabirchmount,36800
oakridge,29400
birchcliffecliffside,44000
cliffcrest,38000
kennedypark,32000
ionview,34000
dorsetpark,33200
agincourtsouthmalvernwest,32000
agincourtnorth,30000
milliken,28400
centennialscarborough,48800
highlandcreek,36400
morningside,34400
westhill,33200
eglintoneast,33200
scarboroughvillage,32400
guildwood,48000
golfdalecedarbraewoburn,31200
woburnnorth,32400
westrouge,42000
morningsideheights,34800
malvernwest,31600
malverneast,33200
lamoreauxwest,31400
eastlamoreaux,31000
parkwoodsoconnorhills,39200
fensideparkwoods,36000
yongedoris,36400
eastwillowdale,36800
avondale,46400
oakdalebeverleyheights,33600
downsview,37600
bendaleglenandrew,34000
bendalesouth,33200
islington,45600
etobicokecitycentre,46000
mimicoqueensway,45200
humberbayshores,53200
westqueenwest,65500
fortyorklibertyvillage,64500
wellingtonplace,67000
harbourfrontcityplace,58800
stlawrenceeastbayfronttheislands,58000
churchwellesley,42800
downtownyongeeast,45200
baycloverhill,39600
yongebaycorridor,44000
junctionwallaceemerson,41200
dovercourtvillage,38000
northtoronto,46000
southeglintondavisville,52400
