nbh_name,med_inc,mtch_name
West Humber-Clairville,33600,westhumberclairville
Mount Olive-Silverstone-Jamestown,29600,mountolivesilverstonejamestown
Thistletown-Beaumond Heights,32800,thistletownbeaumondheights
Rexdale-Kipling,33600,rexdalekipling
Elms-Old Rexdale,34400,elmsoldrexdale
Kingsview Village-The Westway,34400,kingsviewvillagethewestway
Willowridge-Martingrove-Richview,40800,willowridgemartingroverichview
Humber Heights-Westmount,40400,humberheightswestmount
Edenbridge-Humber Valley,48400,edenbridgehumbervalley
Princess-Rosethorn,58800,princessrosethorn
Eringate-Centennial-West Deane,44400,eringatecentennialwestdeane
Markland Wood,46800,marklandwood
Etobicoke West Mall,39200,etobicokewestmall
Kingsway South,74500,kingswaysouth
Stonegate-Queensway,48400,stonegatequeensway
New Toronto,37600,newtoronto
Long Branch,46000,longbranch
Alderwood,45200,alderwood
Humber Summit,31200,humbersummit
Humbermede,32400,humbermede
Pelmo Park-Humberlea,39600,pelmoparkhumberlea
Black Creek,29400,blackcreek
Glenfield-Jane Heights,30400,glenfieldjaneheights
York University Heights,32400,yorkuniversityheights
Rustic,31400,rustic
Maple Leaf,37200,mapleleaf
Brookhaven-Amesbury,34400,brookhavenamesbury
Yorkdale-Glen Park,36400,yorkdaleglenpark
Englemount-Lawrence,37200,englemountlawrence
Clanton Park,42000,clantonpark
Bathurst Manor,37600,bathurstmanor
Westminster-Branson,33600,westminsterbranson
Newtonbrook West,32800,newtonbrookwest
Willowdale West,37600,willowdalewest
Lansing-Westgate,45200,lansingwestgate
Bedford Park-Nortown,54000,bedfordparknortown
St.Andrew-Windfields,46400,standrewwindfields
Bridle Path-Sunnybrook-York Mills,72000,bridlepathsunnybrookyorkmills
Banbury-Don Mills,46400,banburydonmills
Victoria Village,34000,victoriavillage
Flemingdon Park,30400,flemingdonpark
Pleasant View,34400,pleasantview
Don Valley Village,34800,donvalleyvillage
Hillcrest Village,34400,hillcrestvillage
Bayview Woods-Steeles,38000,bayviewwoodssteeles
Newtonbrook East,34000,newtonbrookeast
Bayview Village,43200,bayviewvillage
Henry Farm,38400,henryfarm
O`Connor Parkview,37600,oconnorparkview
Thorncliffe Park,29400,thorncliffepark
Leaside-Bennington,64000,leasidebennington
Broadview North,38800,broadviewnorth
Old East York,44400,oldeastyork
Danforth-East York,46400,danfortheastyork
Woodbine-Lumsden,46400,woodbinelumsden
Taylor Massey,32400,taylormassey
East End Danforth,46000,eastenddanforth
The Beaches,61200,thebeaches
Woodbine Corridor,50000,woodbinecorridor
Greenwood-Coxwell,44800,greenwoodcoxwell
Danforth,46400,danforth
Playter Estates-Danforth,49200,playterestatesdanforth
North Riverdale,54400,northriverdale
Blake-Jones,38400,blakejones
South Riverdale,48800,southriverdale
Cabbagetown-South St. James Town,46800,cabbagetownsouthstjamestown
Regent Park,33200,regentpark
Moss Park,42800,mosspark
North St. James Town,33600,northstjamestown
Kensington-Chinatown,32400,kensingtonchinatown
University,43200,university
Palmerston-Little Italy,43200,palmerstonlittleitaly
Trinity-Bellwoods,40400,trinitybellwoods
Dufferin Grove,40800,dufferingrove
Little Portugal,46000,littleportugal
South Parkdale,35200,southparkdale
Roncesvalles,45600,roncesvalles
High Park-Swansea,56400,highparkswansea
High Park North,48400,highparknorth
Runnymede-Bloor West Village,60400,runnymedebloorwestvillage
Junction Area,47200,junctionarea
Weston-Pelham Park,35600,westonpelhampark
Corso Italia-Davenport,41200,corsoitaliadavenport
Wychwood,43600,wychwood
Annex,51600,annex
Casa Loma,60000,casaloma
Yonge-St. Clair,62400,yongestclair
Rosedale-Moore Park,67500,rosedalemoorepark
Mount Pleasant East,58400,mountpleasanteast
Yonge-Eglinton,55200,yongeeglinton
Forest Hill South,61600,foresthillsouth
Forest Hill North,44400,foresthillnorth
Lawrence Park South,67500,lawrenceparksouth
Lawrence Park North,68000,lawrenceparknorth
Humewood-Cedarvale,45200,humewoodcedarvale
Oakwood Village,37600,oakwoodvillage
Briar Hill-Belgravia,37200,briarhillbelgravia
Caledonia-Fairbank,37200,caledoniafairbank
Keelesdale-Eglinton West,33200,keelesdaleeglintonwest
Rockcliffe-Smythe,34400,rockcliffesmythe
Beechborough-Greenbrook,34000,beechboroughgreenbrook
Weston,34800,weston
Lambton Baby Point,48800,lambtonbabypoint
Mount Dennis,34800,mountdennis
Steeles,29200,steeles
Tam O'Shanter-Sullivan,32800,tamoshantersullivan
Wexford/Maryvale,35200,wexfordmaryvale
Clairlea-Birchmount,36800,clairleabirchmount
Oakridge,29400,oakridge
Birchcliffe-Cliffside,44000,birchcliffecliffside
Cliffcrest,38000,cliffcrest
Kennedy Park,32000,kennedypark
Ionview,34000,ionview
Dorset Park,33200,dorsetpark
Agincourt South-Malvern West,32000,agincourtsouthmalvernwest
Agincourt North,30000,agincourtnorth
Milliken,28400,milliken
Centennial Scarborough,48800,centennialscarborough
Highland Creek,36400,highlandcreek
Morningside,34400,morningside
West Hill,33200,westhill
Eglinton East,33200,eglintoneast
Scarborough Village,32400,scarboroughvillage
Guildwood,48000,guildwood
Golfdale-Cedarbrae-Woburn,31200,golfdalecedarbraewoburn
Woburn North,32400,woburnnorth
West Rouge,42000,westrouge
Morningside Heights,34800,morningsideheights
Malvern West,31600,malvernwest
Malvern East,33200,malverneast
L'Amoreaux West,31400,lamoreauxwest
East L'Amoreaux,31000,eastlamoreaux
Parkwoods-O'Connor Hills,39200,parkwoodsoconnorhills
Fenside-Parkwoods,36000,fensideparkwoods
Yonge-Doris,36400,yongedoris
East Willowdale,36800,eastwillowdale
Avondale,46400,avondale
Oakdale-Beverley Heights,33600,oakdalebeverleyheights
Downsview,37600,downsview
Bendale-Glen Andrew,34000,bendaleglenandrew
Bendale South,33200,bendalesouth
Islington,45600,islington
Etobicoke City Centre,46000,etobicokecitycentre
Mimico-Queensway,45200,mimicoqueensway
Humber Bay Shores,53200,humberbayshores
West Queen West,65500,westqueenwest
Fort York-Liberty Village,64500,fortyorklibertyvillage
Wellington Place,67000,wellingtonplace
Harbourfront-CityPlace,58800,harbourfrontcityplace
St Lawrence-East Bayfront-The Islands,58000,stlawrenceeastbayfronttheislands
Church-Wellesley,42800,churchwellesley
Downtown Yonge East,45200,downtownyongeeast
Bay-Cloverhill,39600,baycloverhill
Yonge-Bay Corridor,44000,yongebaycorridor
Junction-Wallace Emerson,41200,junctionwallaceemerson
Dovercourt Village,38000,dovercourtvillage
North Toronto,46000,northtoronto
South Eglinton-Davisville,52400,southeglintondavisville
